iter	Logloss
0	0.6675104653
1	0.6464317247
2	0.630373854
3	0.6165886837
4	0.6070751615
5	0.5976476609
6	0.5901225232
7	0.5844728157
8	0.5795632454
9	0.5754612325
10	0.5716249817
11	0.5684014845
12	0.5658690434
13	0.5639221493
14	0.562008089
15	0.5595031645
16	0.5570659725
17	0.5553756102
18	0.5545656196
19	0.5537433141
20	0.5524358667
21	0.5512027291
22	0.5501817222
23	0.5492907093
24	0.5484778104
25	0.5474632339
26	0.5467716196
27	0.5463234539
28	0.5455433573
29	0.5450251572
30	0.5443461684
31	0.5436675801
32	0.5429991068
33	0.5422296054
34	0.5417559658
35	0.5411835391
36	0.5408518955
37	0.5404568873
38	0.5397216862
39	0.5394969812
40	0.5391503997
41	0.5387588026
42	0.5381149473
43	0.5375889784
44	0.537162327
45	0.5368639159
46	0.5365981794
47	0.5363277178
48	0.5359325342
49	0.535426066
50	0.5351109545
51	0.5346076032
52	0.5342179137
53	0.5337144688
54	0.5330027892
55	0.5325919233
56	0.5321078748
57	0.5317536609
58	0.5312900261
59	0.5309083506
60	0.5306529719
61	0.5303513446
62	0.5301469575
63	0.5298600622
64	0.5295560915
65	0.5293338466
66	0.5290753799
67	0.5288245225
68	0.5284996737
69	0.5278372586
70	0.5274444705
71	0.5270291138
72	0.5264346878
73	0.5260639095
74	0.5256205779
75	0.5253867381
76	0.525071728
77	0.5248958492
78	0.5246306621
79	0.5244038504
80	0.523949521
81	0.5237147035
82	0.5234678115
83	0.5231944156
84	0.5228794631
85	0.5224734947
86	0.5221933471
87	0.5218501074
88	0.5214293621
89	0.520945704
90	0.5203981619
91	0.5198113418
92	0.5194051864
93	0.5190463705
94	0.5187857185
95	0.5184154684
96	0.5180615688
97	0.5175709562
98	0.5170514204
99	0.5165422109
100	0.5159204605
101	0.51544705
102	0.5151627641
103	0.5148182499
104	0.5144575961
105	0.5141830787
106	0.5137999196
107	0.5133627763
108	0.5129204054
109	0.5124031887
110	0.5118363378
111	0.5114349254
112	0.5109522288
113	0.5105485158
114	0.509902881
115	0.5093344431
116	0.5087818373
117	0.5082918839
118	0.5077793056
119	0.507518318
120	0.5070611425
121	0.5066993438
122	0.5061693775
123	0.5056566418
124	0.5051348323
125	0.504649468
126	0.5040963728
127	0.5037017502
128	0.5032330624
129	0.5030164289
130	0.502521674
131	0.5020894721
132	0.5016123597
133	0.5011322509
134	0.5006730668
135	0.5002003802
136	0.4997435479
137	0.4993220243
138	0.4987111059
139	0.4981100655
140	0.497641468
141	0.4971245438
142	0.4966015876
143	0.4960739123
144	0.4954749436
145	0.4948247147
146	0.4944800988
147	0.4938564105
