iter	Passed	Remaining
0	68	20411
1	70	10566
2	73	7298
3	76	5658
4	78	4654
5	81	4009
6	84	3542
7	87	3178
8	90	2921
9	93	2719
10	95	2521
11	98	2367
12	101	2235
13	103	2117
14	106	2015
15	109	1937
16	111	1855
17	113	1784
18	116	1730
19	119	1673
20	122	1625
21	125	1581
22	127	1534
23	129	1492
24	132	1458
25	134	1420
26	137	1385
27	139	1354
28	142	1327
29	144	1298
30	146	1272
31	149	1253
32	152	1231
33	154	1208
34	157	1192
35	160	1174
36	162	1155
37	165	1139
38	167	1122
39	169	1104
40	172	1090
41	175	1075
42	177	1060
43	180	1047
44	182	1034
45	184	1020
46	186	1006
47	189	994
48	191	982
49	194	970
50	196	959
51	199	949
52	201	937
53	203	927
54	206	920
55	208	910
56	211	900
57	214	892
58	216	884
59	218	874
60	221	866
61	223	858
62	225	849
63	227	840
64	230	833
65	232	825
66	235	817
67	237	809
68	239	803
69	242	796
70	244	789
71	247	784
72	250	777
73	252	770
74	254	764
75	257	757
76	259	750
77	261	744
78	264	739
79	266	732
80	268	726
81	271	722
82	274	716
83	276	710
84	278	704
85	281	699
86	283	694
87	286	689
88	288	685
89	291	679
90	293	673
91	295	669
92	298	664
93	300	658
94	302	653
95	305	649
96	308	645
97	310	640
98	313	635
99	315	631
100	318	626
101	320	623
102	323	618
103	325	613
104	328	609
105	330	604
106	332	600
107	335	595
108	338	592
109	340	588
110	343	584
111	346	581
112	348	576
113	350	572
114	353	568
115	355	564
116	358	560
117	360	556
118	363	552
119	365	547
120	367	543
121	370	540
122	373	536
123	375	532
124	378	529
125	380	525
126	383	521
127	385	517
128	388	515
129	390	511
130	393	507
131	395	503
132	398	499
133	400	495
134	402	492
135	405	488
136	407	485
137	410	481
138	412	478
139	414	474
140	416	470
141	419	467
142	422	463
143	424	460
144	427	456
145	429	453
146	432	449
147	434	446
